Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3445E+03,.2338E+00,.3593E+00,.3593E+00,.2338E+00
.3450E+03,.3143E+00,.4739E+00,.4739E+00,.3143E+00
.3455E+03,.3233E+00,.4830E+00,.4830E+00,.3233E+00
.3460E+03,.2764E+00,.4100E+00,.4100E+00,.2764E+00
.3465E+03,.3145E+00,.4639E+00,.4639E+00,.3145E+00
.3470E+03,.3377E+00,.4984E+00,.4984E+00,.3377E+00
.3475E+03,.2737E+00,.4029E+00,.4029E+00,.2737E+00
.3480E+03,.3145E+00,.4585E+00,.4585E+00,.3145E+00
.3485E+03,.3162E+00,.4578E+00,.4578E+00,.3162E+00
.3490E+03,.2946E+00,.4244E+00,.4244E+00,.2946E+00
.3495E+03,.2926E+00,.4200E+00,.4200E+00,.2926E+00
.3500E+03,.3632E+00,.5190E+00,.5190E+00,.3632E+00
.3505E+03,.3844E+00,.5471E+00,.5471E+00,.3844E+00
.3510E+03,.3440E+00,.4887E+00,.4887E+00,.3440E+00
.3515E+03,.3337E+00,.4756E+00,.4756E+00,.3337E+00
.3520E+03,.3610E+00,.5101E+00,.5101E+00,.3610E+00
.3525E+03,.2833E+00,.3975E+00,.3975E+00,.2833E+00
.3530E+03,.3583E+00,.5001E+00,.5001E+00,.3583E+00
.3535E+03,.3844E+00,.5339E+00,.5339E+00,.3844E+00
.3540E+03,.4004E+00,.5535E+00,.5535E+00,.4004E+00
.3545E+03,.4076E+00,.5615E+00,.5615E+00,.4076E+00
.3550E+03,.4077E+00,.5598E+00,.5598E+00,.4077E+00
.3555E+03,.3698E+00,.5057E+00,.5057E+00,.3698E+00
.3560E+03,.3884E+00,.5291E+00,.5291E+00,.3884E+00
.3565E+03,.3328E+00,.4516E+00,.4516E+00,.3328E+00
.3570E+03,.2759E+00,.3731E+00,.3731E+00,.2759E+00
.3575E+03,.3390E+00,.4565E+00,.4565E+00,.3390E+00
.3580E+03,.2696E+00,.3617E+00,.3617E+00,.2696E+00
.3585E+03,.2311E+00,.3090E+00,.3090E+00,.2311E+00
.3590E+03,.3243E+00,.4321E+00,.4321E+00,.3243E+00
.3595E+03,.4143E+00,.5506E+00,.5506E+00,.4143E+00
.3600E+03,.4407E+00,.5835E+00,.5835E+00,.4407E+00
