BAND #,CW (nm),FWHM (nm),borne_min,borne_max
62,763.703,8.80311,760.0,767.0
63,771.108,8.88214,767.0,775.0
64,778.567,8.95779,775.0,782.0
65,786.078,9.03034,782.0,790.0
66,793.639,9.1005,790.0,797.0
67,801.249,9.16897,797.0,805.0
68,808.905,9.23646,805.0,813.0
69,816.608,9.30368,813.0,820.0
70,824.355,9.37133,820.0,828.0
71,832.145,9.44012,828.0,836.0
72,839.976,9.51076,836.0,844.0
73,847.847,9.58396,844.0,852.0
74,855.757,9.66032,852.0,860.0
75,863.703,9.73971,860.0,868.0
76,871.683,9.82161,868.0,876.0
77,879.693,9.90551,876.0,884.0
78,887.729,9.99089,884.0,892.0
79,895.789,10.0772,892.0,899.0
92,901.961,9.17725,899.0,907.0
93,911.571,9.31901,907.0,916.0
94,921.32,9.45441,916.0,926.0
95,931.203,9.58399,926.0,936.0
96,941.218,9.7083,936.0,946.0
97,951.36,9.82789,946.0,956.0
98,961.628,9.94331,956.0,967.0
99,972.016,10.0551,967.0,977.0
100,982.523,10.1638,977.0,988.0
101,993.144,10.27,988.0,998.0
102,1003.88,10.3742,998.0,1009.0
103,1014.72,10.4768,1009.0,1020.0
104,1025.66,10.5775,1020.0,1031.0
105,1036.7,10.6753,1031.0,1042.0
106,1047.84,10.769,1042.0,1053.0
107,1059.07,10.8578,1053.0,1065.0
108,1070.39,10.9405,1065.0,1076.0
109,1081.78,11.0162,1076.0,1088.0
110,1093.26,11.0839,1088.0,1099.0
111,1104.81,11.1437,1099.0,1111.0
112,1116.43,11.196,1111.0,1122.0
113,1128.1,11.2414,1122.0,1134.0
114,1139.84,11.2806,1134.0,1146.0
115,1151.62,11.3139,1146.0,1158.0
116,1163.44,11.3421,1158.0,1169.0
117,1175.3,11.3656,1169.0,1181.0
118,1187.2,11.385,1181.0,1193.0
119,1199.11,11.4009,1193.0,1205.0
120,1211.05,11.4135,1205.0,1217.0
121,1223.0,11.4229,1217.0,1229.0
122,1234.97,11.4292,1229.0,1241.0
123,1246.94,11.4325,1241.0,1253.0
124,1258.93,11.4329,1253.0,1265.0
125,1270.92,11.4305,1265.0,1277.0
126,1282.92,11.4253,1277.0,1289.0
127,1294.91,11.4176,1289.0,1301.0
128,1306.9,11.4073,1301.0,1313.0
129,1318.88,11.3946,1313.0,1325.0
130,1330.85,11.3796,1325.0,1337.0
131,1342.82,11.3624,1337.0,1349.0
132,1354.76,11.343,1349.0,1361.0
133,1366.69,11.3215,1361.0,1373.0
134,1378.6,11.2981,1373.0,1385.0
135,1390.48,11.2728,1385.0,1426.0
136,1461.1,11.0876,1426.0,1467.0
137,1472.74,11.052,1467.0,1479.0
138,1484.34,11.0151,1479.0,1490.0
139,1495.89,10.9772,1490.0,1502.0
140,1507.4,10.9383,1502.0,1513.0
141,1518.87,10.8984,1513.0,1525.0
142,1530.29,10.8577,1525.0,1536.0
143,1541.67,10.8161,1536.0,1547.0
144,1553.01,10.7738,1547.0,1559.0
145,1564.3,10.7308,1559.0,1570.0
146,1575.55,10.6872,1570.0,1581.0
147,1586.76,10.643,1581.0,1592.0
148,1597.91,10.5985,1592.0,1603.0
149,1609.02,10.5535,1603.0,1615.0
150,1620.09,10.5082,1615.0,1626.0
151,1631.11,10.4626,1626.0,1637.0
152,1642.07,10.4169,1637.0,1648.0
153,1653.0,10.371,1648.0,1658.0
154,1663.87,10.3251,1658.0,1669.0
155,1674.7,10.2793,1669.0,1680.0
156,1685.47,10.2335,1680.0,1691.0
157,1696.2,10.1879,1691.0,1702.0
158,1706.87,10.1425,1702.0,1712.0
159,1717.5,10.0974,1712.0,1723.0
160,1728.08,10.0525,1723.0,1733.0
161,1738.6,10.0079,1733.0,1744.0
162,1749.08,9.96359,1744.0,1754.0
163,1759.51,9.91949,1754.0,1850.0
164,1939.14,9.16572,1850.0,1944.0
165,1948.69,9.12592,1944.0,1953.0
166,1958.2,9.08633,1953.0,1963.0
167,1967.66,9.04694,1963.0,1972.0
168,1977.08,9.00775,1972.0,1982.0
169,1986.45,8.96875,1982.0,1991.0
170,1995.79,8.92995,1991.0,2000.0
171,2005.08,8.89134,2000.0,2010.0
172,2014.33,8.85292,2010.0,2019.0
173,2023.54,8.81469,2019.0,2028.0
174,2032.7,8.77665,2028.0,2037.0
175,2041.83,8.73878,2037.0,2046.0
176,2050.92,8.70111,2046.0,2055.0
177,2059.96,8.66361,2055.0,2064.0
178,2068.97,8.62632,2064.0,2073.0
179,2077.93,8.58923,2073.0,2082.0
180,2086.86,8.55236,2082.0,2091.0
181,2095.74,8.51572,2091.0,2100.0
182,2104.59,8.47932,2100.0,2109.0
183,2113.4,8.44317,2109.0,2118.0
184,2122.17,8.40728,2118.0,2127.0
185,2130.9,8.37166,2127.0,2135.0
186,2139.6,8.33632,2135.0,2144.0
187,2148.26,8.30128,2144.0,2153.0
188,2156.88,8.26653,2153.0,2161.0
189,2165.47,8.2321,2161.0,2170.0
190,2174.02,8.198,2170.0,2178.0
191,2182.53,8.16422,2178.0,2187.0
192,2191.01,8.13079,2187.0,2195.0
193,2199.45,8.09771,2195.0,2204.0
194,2207.86,8.065,2204.0,2212.0
195,2216.24,8.03267,2212.0,2220.0
196,2224.58,8.00072,2220.0,2229.0
197,2232.89,7.96916,2229.0,2237.0
198,2241.16,7.93802,2237.0,2245.0
199,2249.4,7.90728,2245.0,2254.0
200,2257.61,7.87694,2254.0,2262.0
201,2265.79,7.84695,2262.0,2270.0
202,2273.93,7.81727,2270.0,2278.0
203,2282.04,7.78785,2278.0,2286.0
204,2290.12,7.75866,2286.0,2294.0
205,2298.17,7.72966,2294.0,2302.0
206,2306.19,7.70079,2302.0,2310.0
